course_id,course_code,course_title,course_credits,course_grade,course_gpa,course_points,CGPA,comments
18987,CMPS3272,SYSTEMS ENGINEERING,3,C+,2.5,7.5,3.33,
19009,CMPS3252,ALGORITHMS,3,F,0,0,3.33,REPEAT
19031,CMPS4992,PROFESSIONAL PRACTICE,12,C,2,24,3.33,
19053,CMPS4191,ADVANCED WEB TECHNOLOGIES,3,WF,0,0,0,
19075,CMPS2252,OPERATING SYSTEMS,3,B,3,9,0,
19097,ENGL2105,COMMUNICATION SKILLS,3,A-,3.75,11.25,0,
19119,MATH2201,CALCULUS II,3,F,0,0,0,REPEAT
19141,MATH3251,CALCULUS III,3,D,1,3,3.33,REPEAT
19163,CMPS3252,ALGORITHMS,3,D,1,3,3.33,REPEAT
19185,MATH3251,CALCULUS III,3,NG,,,3.33,REPEAT
19207,CMPS2212,GUI PROGRAMMING,3,C,2,6,3.33,
19229,MATH104,CALCULUS I,3,A,4,12,3.33,
19251,CMPS144,PRINCIPLES OF PROGRAMMING II,3,A,4,12,1.81,
19273,MATH322,LINEAR ALGEBRA 1,3,F,0,0,1.81,REPEAT
19295,CMPS360,MANAGEMENT INFORMATION SYSTEM,3,WP,0,0,1.81,REPEAT
19317,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,D+,0.17,0.5,1.81,REPEAT
19339,MGMT101,APPLIED MANAGEMENT I,3,C+,2.5,7.5,1.81,
19361,CMPS413,ADVANCED WEB TECHNOLOGIES,3,F,0,0,1.81,REPEAT
19383,CMPS318,ADVANCED PC REPAIR,3,C+,2.5,7.5,1.81,
19405,MAT103,TRIGONOMETRY 1,3,B+,3.5,10.5,1.81,
19427,MATH441,NUMERICAL ANALYSIS,4,WP,0,0,1.81,
19449,SPAN101,LEVEL 1 BEGINNING SPANISH,3,A-,3.75,11.25,1.81,
19471,MATH101,ALGEBRA 1,3,A-,3.75,11.25,1.81,
19493,MATH104,CALCULUS I,3,A-,3.75,11.25,2.81,
19515,CMPS255,OBJECT ORIENTED SYSTEM DEV.,3,WP,0,0,2.81,REPEAT
19537,MATH441,NUMERICAL ANALYSIS,4,B,3,12,2.81,
19559,MATH333,CALCULUS III,3,WP,0,0,2.81,REPEAT
19581,CMPS213,BASIC PC REPAIR,3,,,,2.81,
19603,CMPS144,PRINCIPLES OF PROGRAMMING II,3,A-,3.75,11.25,2.81,
19625,MAT103,TRIGONOMETRY 1,3,B,3,9,2.81,
19647,CMPS324,SOFTWARE ENGINEERING,3,WF,0,0,2.81,REPEAT
19669,CMPS315,NETWORK ENGINEERING,3,F,0,0,2.81,
19691,SPAN111,SPANISH 1,3,B+,3.5,10.5,2.81,
19713,CMPS213,BASIC PC REPAIR,3,F,0,0,2.81,REPEAT
19735,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,C,2,6,2.81,REPEAT
